Repo,App,Status,Notes,PR Link
"truvolv/jjs-custom","jjs-main","completed","already updated (not counted toward batch)",""
"truvolv/siding-and-windows-wizards","siding-wizards-main","completed","already updated (not counted toward batch)",""
"truvolv/innovative-exteriors","main-innovative-exteriors","completed","already updated (not counted toward batch)",""
"truvolv/home-pro-mi","hpmi-main-site","completed","already updated (not counted toward batch)",""
"truvolv/dgd","dgd-main","completed","already updated (not counted toward batch)",""
"truvolv/bath-works-mi","bwmi-main-site","completed","already updated (not counted toward batch)",""
"truvolv/bath-works-mi","lp-go-bath-works-mi","completed","already updated (not counted toward batch)",""
"truvolv/rjw-exteriors","main-rjw","completed","already updated (not counted toward batch)",""
"truvolv/on-track-doors","otd-main-site","completed","already updated (not counted toward batch)",""
"truvolv/bathroom-pros-nj","bpnj-main-site","completed","already updated (not counted toward batch)",""
"truvolv/erdmann-outdoor-living","outdoor-living-main","completed","already updated (not counted toward batch)",""
"truvolv/c3-construction","main-c3","completed","already updated (not counted toward batch)",""
"truvolv/lehigh-gap-exteriors","lge-main","completed","already updated (not counted toward batch)",""
"truvolv/207-roofers","main-207-roofers","completed","already updated (not counted toward batch)",""
"truvolv/carole-frederick","main-cf","completed","already updated (not counted toward batch)",""
"truvolv/erdmann-exteriors","main-erdmann-ext","completed","already updated (not counted toward batch)",""
"truvolv/ltg-coatings","ltgc-main","completed","already updated (not counted toward batch)",""
"truvolv/main-abc-jacuzzi","abcnd-micro-bath","completed","already updated (not counted toward batch)",""
"truvolv/main-abc-jacuzzi","abcnd-micro-roof","completed","already updated (not counted toward batch)",""
"truvolv/main-abc-jacuzzi","abcnd-micro-siding","completed","already updated (not counted toward batch)",""
"truvolv/main-abc-jacuzzi","abcnd-micro-window","completed","already updated (not counted toward batch)",""
"truvolv/main-abc-jacuzzi","main-abc-seamless-jacuzzi","completed","already updated (not counted toward batch)",""
"truvolv/florida-energy-water-air-pure","fewa-pure","completed","already updated (not counted toward batch)",""
"truvolv/florida-energy-water-air-pure","lp-fewa-pentair-new","completed","already updated (not counted toward batch)",""
"truvolv/florida-energy-water-air-pure","lp-fewa-pentair","completed","already updated (not counted toward batch)",""
"truvolv/florida-energy-water-air-pure","main-fewa","completed","already updated (not counted toward batch)",""
"truvolv/florida-energy-water-air-pure","micro-water-treat","completed","already updated (not counted toward batch)",""
"truvolv/universal-windows-of-manchester","uwm-main","completed","already updated (not counted toward batch)",""
"truvolv/floortek","floortek-main","completed","already updated (not counted toward batch)",""
"truvolv/floortek","ox-floors-main","completed","already updated (not counted toward batch)",""
"truvolv/bytown-bath","bb-main-site","completed","already updated (not counted toward batch)",""
"truvolv/twin-cities-jacuzzi","main-tcj","completed","already updated (not counted toward batch)",""
"truvolv/twin-cities-jacuzzi","main-tcjacuzzi","completed","already updated (not counted toward batch)",""
